,method,eps,fake_iou,perturbation,lb_box,ub_box,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
30,IBP+backward (CROWN-IBP),0.00041999999999999996,False,CGT_brightness,"[148.74022, 97.31775, 173.04616, 118.62563]","[161.64676, 108.18592, 189.33292, 126.08403]","[0.07789622771312, 1]",5.7220458984375e-05,"[0.24841567873954773, 1.0]",0.0073430538177490234
31,IBP+backward (CROWN-IBP),0.00041999999999999996,False,CGT_brightness_clamp,"[148.74022, 97.31775, 173.04616, 118.62563]","[161.64676, 108.18592, 189.33292, 126.08403]","[0.07789622771312, 1]",5.4836273193359375e-05,"[0.24841567873954773, 1.0]",0.007105112075805664
32,IBP+backward (CROWN-IBP),0.00047999999999999996,False,whitenoise,"[146.95879, 95.95046, 171.2479, 117.81836]","[163.26862, 109.629135, 191.34915, 127.27278]","[0.03621923903983428, 1]",6.29425048828125e-05,"[0.13640017807483673, 1.0]",0.0077779293060302734
33,IBP+backward (CROWN-IBP),0.00047999999999999996,False,brightness,"[149.1796, 96.905785, 173.58238, 118.79767]","[160.90729, 108.82352, 188.812, 126.35977]","[0.08317485133233501, 1]",5.602836608886719e-05,"[0.26389774680137634, 1.0]",0.007598876953125
34,IBP+backward (CROWN-IBP),0.00047999999999999996,False,CGT_brightness,"[146.95879, 95.95046, 171.2479, 117.81836]","[163.26862, 109.629135, 191.34915, 127.27278]","[0.03621923903983428, 1]",5.507469177246094e-05,"[0.13640017807483673, 1.0]",0.007360935211181641
35,IBP+backward (CROWN-IBP),0.00047999999999999996,False,CGT_brightness_clamp,"[146.95879, 95.95046, 171.2479, 117.81836]","[163.26862, 109.629135, 191.34915, 127.27278]","[0.03621923903983428, 1]",5.412101745605469e-05,"[0.13640017807483673, 1.0]",0.007331132888793945
36,IBP+backward (CROWN-IBP),0.0005399999999999999,False,whitenoise,"[145.12514, 94.66342, 169.12561, 116.91318]","[165.17477, 111.29971, 193.3956, 128.64879]","[0.010574121498887187, 1]",6.198883056640625e-05,"[0.046294406056404114, 1.0]",0.008068084716796875
37,IBP+backward (CROWN-IBP),0.0005399999999999999,False,brightness,"[147.61356, 95.73788, 171.74472, 118.01283]","[162.52, 110.40385, 190.54288, 127.632286]","[0.03947565708146958, 1]",5.91278076171875e-05,"[0.14651711285114288, 1.0]",0.007837057113647461
38,IBP+backward (CROWN-IBP),0.0005399999999999999,False,CGT_brightness,"[145.12514, 94.66342, 169.12561, 116.91318]","[165.17477, 111.29971, 193.3956, 128.64879]","[0.010574121498887187, 1]",6.222724914550781e-05,"[0.046294406056404114, 1.0]",0.0077686309814453125
39,IBP+backward (CROWN-IBP),0.0005399999999999999,False,CGT_brightness_clamp,"[145.12514, 94.66342, 169.12561, 116.91318]","[165.17477, 111.29971, 193.3956, 128.64879]","[0.010574121498887187, 1]",5.4836273193359375e-05,"[0.046294406056404114, 1.0]",0.007337808609008789
40,IBP+backward (CROWN-IBP),0.0006,True,whitenoise,"[143.17786, 93.220276, 166.88498, 115.97971]","[167.21327, 113.03054, 195.68417, 130.25095]","[0, 1]",0.0,"[0, 1]",0.0
41,IBP+backward (CROWN-IBP),0.0006,False,brightness,"[145.93483, 94.41448, 169.78993, 117.19945]","[164.26773, 112.044426, 192.51663, 129.13042]","[0.01376733349536756, 1]",6.389617919921875e-05,"[0.05942254886031151, 1.0]",0.008581876754760742
42,IBP+backward (CROWN-IBP),0.0006,True,CGT_brightness,"[143.17786, 93.220276, 166.88498, 115.97971]","[167.21327, 113.03054, 195.68417, 130.25095]","[0, 1]",0.0,"[0, 1]",0.0
43,IBP+backward (CROWN-IBP),0.0006,True,CGT_brightness_clamp,"[143.17786, 93.220276, 166.88498, 115.97971]","[167.21327, 113.03054, 195.68417, 130.25095]","[0, 1]",0.0,"[0, 1]",0.0
