,image_id,eps,IoU_vanillaperturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension,IoU_extension_greedy,tmps_greedy
5242,804,0.00784313725490196,whitenoise,0.28413987159729004,"[0.6906487071438095, 1]",7.414817810058594e-05,"[0.7646371126174927, 0.9472131]",0.008721113204956055,"[0.7646371126174927, 0.9472131133079529]",0.01422882080078125
5243,804,0.011764705882352941,whitenoise,0.2832183837890625,"[0.5622837819212397, 1]",7.987022399902344e-05,"[0.7192869186401367, 1.0]",0.009690046310424805,"[0.7192869186401367, 1.0]",0.01815199851989746
5244,804,0.01568627450980392,whitenoise,0.3036830425262451,"[0.40663664019228213, 1]",7.700920104980469e-05,"[0.6621833443641663, 1.0]",0.00952005386352539,"[0.6621833443641663, 1.0]",0.017425060272216797
5245,804,0.0196078431372549,whitenoise,0.3101480007171631,"[0.29577141563718895, 1]",7.724761962890625e-05,"[0.5973033905029297, 1.0]",0.00951385498046875,"[0.5973033905029297, 1.0]",0.01865386962890625
5246,804,0.023529411764705882,whitenoise,0.3039431571960449,"[0.1972736192381087, 1]",7.772445678710938e-05,"[0.4700416922569275, 1.0]",0.00932931900024414,"[0.4700416922569275, 1.0]",0.017407894134521484
5247,805,0.0,whitenoise,0.26045989990234375,"[0.888284667226847, 0.888284667226847]",7.510185241699219e-05,"[0.8882846832275391, 0.8882847]",0.00933980941772461,"[0.8882846832275391, 0.8882846832275391]",0.015366792678833008
5248,805,0.00392156862745098,whitenoise,0.2738330364227295,"[0.8121160134485522, 0.9503886115419408]",6.508827209472656e-05,"[0.8397119045257568, 0.9173132]",0.008089065551757812,"[0.8397119045257568, 0.9173132181167603]",0.013983964920043945
5249,805,0.00784313725490196,whitenoise,0.27587389945983887,"[0.6680176369772233, 1]",7.486343383789062e-05,"[0.7356820106506348, 0.96476233]",0.008733034133911133,"[0.7356820106506348, 0.9647623300552368]",0.014397859573364258
5250,805,0.011764705882352941,whitenoise,0.23932909965515137,"[0.5141077891717359, 1]",6.175041198730469e-05,"[0.6157842874526978, 1.0]",0.007432222366333008,"[0.6157842874526978, 1.0]",0.014474153518676758
5251,805,0.01568627450980392,whitenoise,0.26467466354370117,"[0.34560928719068684, 1]",7.390975952148438e-05,"[0.4819682240486145, 1.0]",0.00893712043762207,"[0.4819682240486145, 1.0]",0.015245914459228516
5252,805,0.0196078431372549,whitenoise,0.2688918113708496,"[0.2264514365970639, 1]",6.985664367675781e-05,"[0.3722124397754669, 1.0]",0.008585929870605469,"[0.3722124397754669, 1.0]",0.014908313751220703
5253,806,0.0,whitenoise,0.24800896644592285,"[0.8892610410455805, 0.8892610410455805]",6.29425048828125e-05,"[0.8892610669136047, 0.88926107]",0.0074920654296875,"[0.8892610669136047, 0.8892610669136047]",0.014017105102539062
5254,806,0.00392156862745098,whitenoise,0.2697169780731201,"[0.8353383910248312, 0.9506744743056442]",7.605552673339844e-05,"[0.8666571974754333, 0.9167738]",0.009102821350097656,"[0.8666571974754333, 0.916773796081543]",0.015147924423217773
5255,806,0.00784313725490196,whitenoise,0.2740023136138916,"[0.7368308098077588, 1]",7.677078247070312e-05,"[0.8362080454826355, 0.95142233]",0.009427309036254883,"[0.8362080454826355, 0.9514223337173462]",0.016527891159057617
5256,806,0.011764705882352941,whitenoise,0.25060081481933594,"[0.5945115828130071, 1]",6.604194641113281e-05,"[0.7706122994422913, 1.0]",0.0076181888580322266,"[0.7706122994422913, 1.0]",0.014689922332763672
5257,806,0.01568627450980392,whitenoise,0.23608708381652832,"[0.4514530911772067, 1]",6.198883056640625e-05,"[0.6891868710517883, 1.0]",0.007418155670166016,"[0.6891868710517883, 1.0]",0.014518976211547852
5258,806,0.0196078431372549,whitenoise,0.23386001586914062,"[0.3270310254244191, 1]",6.175041198730469e-05,"[0.6010889410972595, 1.0]",0.0074961185455322266,"[0.6010889410972595, 1.0]",0.014544010162353516
5259,806,0.023529411764705882,whitenoise,0.23561692237854004,"[0.22025871068055047, 1]",6.222724914550781e-05,"[0.49936041235923767, 1.0]",0.007428884506225586,"[0.49936041235923767, 1.0]",0.01450490951538086
5260,806,0.027450980392156862,whitenoise,0.23737812042236328,"[0.14214170385896097, 1]",6.508827209472656e-05,"[0.38169288635253906, 1.0]",0.007592916488647461,"[0.38169288635253906, 1.0]",0.014808177947998047
5261,807,0.0,whitenoise,0.24501705169677734,"[0.9102155748960026, 0.9102155748960026]",6.103515625e-05,"[0.9102155566215515, 0.91021556]",0.007565975189208984,"[0.9102155566215515, 0.9102155566215515]",0.014109134674072266
