,method,image_id,eps,eps_contrast,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
55,IBP+backward (CROWN-IBP),67,0.00014000000000000001,0.07,False,brightness,"[[143.75636, 134.14651, 154.35556, 146.07004], [143.98358, 134.28862, 154.60103, 146.24504]]",0.8992021083831787,0.03979849815368652,"[0.5652108266346247, 0.6363779677658981]",0.00011038780212402344,"[0.5802837014198303, 0.6192551]",0.01629805564880371
56,IBP+backward (CROWN-IBP),67,0.00014000000000000001,0.07,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.8992021083831787,0.04207634925842285,"[0, 1]",0.0,"[0, 1]",0.0
57,IBP+backward (CROWN-IBP),67,0.00016,0.08,False,whitenoise,"[[143.01358, 133.83748, 153.5957, 145.69724], [144.7542, 134.61722, 155.39374, 146.5726]]",0.903721809387207,0.020547151565551758,"[0.4088057097671735, 0.919713800877157]",0.00012135505676269531,"[0.4818742275238037, 0.74367815]",0.01684880256652832
58,IBP+backward (CROWN-IBP),67,0.00016,0.08,False,brightness,"[[143.73843, 134.12917, 154.3381, 146.01222], [144.02705, 134.32518, 154.64755, 146.25688]]",0.903721809387207,0.039946556091308594,"[0.5541751808479287, 0.6473916742714676]",0.00011134147644042969,"[0.5734841227531433, 0.6245808]",0.01635146141052246
59,IBP+backward (CROWN-IBP),67,0.00016,0.08,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.903721809387207,0.04219865798950195,"[0, 1]",0.0,"[0, 1]",0.0
60,IBP+backward (CROWN-IBP),67,0.00018,0.09,False,whitenoise,"[[142.90273, 133.78246, 153.48364, 145.59735], [144.89014, 134.6937, 155.53658, 146.626]]",0.8958370685577393,0.020417451858520508,"[0.3864486138379442, 0.9853637503139163]",0.00012183189392089844,"[0.46549075841903687, 0.76755095]",0.016743183135986328
61,IBP+backward (CROWN-IBP),67,0.00018,0.09,False,brightness,"[[143.71822, 134.11063, 154.31892, 145.95125], [144.07233, 134.36487, 154.69707, 146.27104]]",0.8958370685577393,0.03974270820617676,"[0.5426421962723558, 0.6595286815516157]",0.00011157989501953125,"[0.5662891864776611, 0.63039225]",0.016295433044433594
62,IBP+backward (CROWN-IBP),67,0.00018,0.09,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.8958370685577393,0.042009592056274414,"[0, 1]",0.0,"[0, 1]",0.0
63,IBP+backward (CROWN-IBP),67,0.0002,0.1,False,whitenoise,"[[142.77582, 133.67297, 153.3696, 145.49744], [145.02806, 134.77136, 155.70007, 146.72871]]",0.8922748565673828,0.020460128784179688,"[0.36224347647857064, 1]",0.00012063980102539062,"[0.44748789072036743, 0.7976115]",0.016775131225585938
64,IBP+backward (CROWN-IBP),67,0.0002,0.1,False,brightness,"[[143.68187, 134.03743, 154.29762, 145.89017], [144.11966, 134.40584, 154.76744, 146.33476]]",0.8922748565673828,0.039818525314331055,"[0.5261370873723166, 0.6802178313846696]",0.00011086463928222656,"[0.5563313961029053, 0.64050806]",0.016313791275024414
