,method,image_id,eps,eps_contrast,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
41,IBP+backward (CROWN-IBP),86,4e-05,0.02,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.6754426956176758,0.02716684341430664,"[0, 1]",0.0,"[0, 1]",0.0
42,IBP+backward (CROWN-IBP),86,6.000000000000001e-05,0.03,False,whitenoise,"[[99.565186, 133.97775, 108.67714, 144.2507], [100.083755, 134.22055, 109.201126, 144.50726]]",0.6860401630401611,0.01345968246459961,"[0.5244465408411704, 0.6932781902870209]",7.510185241699219e-05,"[0.5582099556922913, 0.6476401]",0.011055469512939453
43,IBP+backward (CROWN-IBP),86,6.000000000000001e-05,0.03,False,brightness,"[[99.79797, 134.0885, 108.91379, 144.36742], [99.85076, 134.10999, 108.964226, 144.39073]]",0.6860401630401611,0.026119709014892578,"[0.5931699910597231, 0.6094208899397449]",6.771087646484375e-05,"[0.5969439744949341, 0.605535]",0.010732889175415039
44,IBP+backward (CROWN-IBP),86,6.000000000000001e-05,0.03,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.6860401630401611,0.027558565139770508,"[0, 1]",0.0,"[0, 1]",0.0
45,IBP+backward (CROWN-IBP),86,8e-05,0.04,False,whitenoise,"[[99.48013, 133.9379, 108.59102, 144.20702], [100.33684, 134.29541, 109.457054, 144.58527]]",0.6763172149658203,0.013826370239257812,"[0.4752466824098148, 0.7419523843431667]",7.82012939453125e-05,"[0.5234996676445007, 0.6637741]",0.011396646499633789
46,IBP+backward (CROWN-IBP),86,8e-05,0.04,False,brightness,"[[99.7904, 134.08551, 108.90641, 144.36253], [100.02459, 134.14822, 109.13916, 144.43011]]",0.6763172149658203,0.026885032653808594,"[0.5585680639320382, 0.6228314474901189]",7.05718994140625e-05,"[0.5727353096008301, 0.606853]",0.011049270629882812
47,IBP+backward (CROWN-IBP),86,8e-05,0.04,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.6763172149658203,0.028366565704345703,"[0, 1]",0.0,"[0, 1]",0.0
48,IBP+backward (CROWN-IBP),86,0.0001,0.05,False,whitenoise,"[[99.39244, 133.89757, 108.50347, 144.1553], [100.59265, 134.3798, 109.71701, 144.66441]]",0.6714656352996826,0.013437032699584961,"[0.43015330216299297, 0.7977419064726343]",7.557868957519531e-05,"[0.4899078905582428, 0.6810984]",0.01089334487915039
49,IBP+backward (CROWN-IBP),86,0.0001,0.05,False,brightness,"[[99.780136, 134.0821, 108.89768, 144.34953], [100.201035, 134.19568, 109.31793, 144.47055]]",0.6714656352996826,0.025600433349609375,"[0.5248177416128257, 0.6382160190514294]",6.222724914550781e-05,"[0.5484936833381653, 0.6088383]",0.010336875915527344
50,IBP+backward (CROWN-IBP),86,0.0001,0.05,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.6714656352996826,0.026952743530273438,"[0, 1]",0.0,"[0, 1]",0.0
51,IBP+backward (CROWN-IBP),86,0.00012000000000000002,0.06,False,whitenoise,"[[99.30315, 133.8569, 108.41423, 144.10327], [100.84982, 134.46521, 109.97864, 144.74475]]",0.7041647434234619,0.013411521911621094,"[0.38957021207988946, 0.8605496346423022]",7.581710815429688e-05,"[0.45803120732307434, 0.6991861]",0.010890960693359375
52,IBP+backward (CROWN-IBP),86,0.00012000000000000002,0.06,False,brightness,"[[99.76822, 134.07832, 108.887245, 144.33614], [100.379, 134.2442, 109.498505, 144.51227]]",0.7041647434234619,0.025629281997680664,"[0.492965809127849, 0.6547301084678013]",6.246566772460938e-05,"[0.5249059796333313, 0.6110763]",0.010378122329711914
53,IBP+backward (CROWN-IBP),86,0.00012000000000000002,0.06,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.7041647434234619,0.0270235538482666,"[0, 1]",0.0,"[0, 1]",0.0
54,IBP+backward (CROWN-IBP),86,0.00014000000000000001,0.07,False,whitenoise,"[[99.21181, 133.81575, 108.32283, 144.04651], [101.11044, 134.55441, 110.24313, 144.82616]]",0.6945703029632568,0.01419520378112793,"[0.35256594374261574, 0.9326704685685859]",7.915496826171875e-05,"[0.42748066782951355, 0.7184237]",0.011739969253540039
55,IBP+backward (CROWN-IBP),86,0.00014000000000000001,0.07,False,brightness,"[[99.75435, 134.0741, 108.87478, 144.31804], [100.56041, 134.29648, 109.68192, 144.55502]]",0.6945703029632568,0.027954578399658203,"[0.4624485471376189, 0.673033560170133]",7.128715515136719e-05,"[0.5016644597053528, 0.61382043]",0.011698246002197266
